Tepiter north=Stelle south=Neptune-Hecomri east=Drano west=Hephaesbar
Nisrida north=Carda-Neptune south=Dyder east=Esla-Netdia west=Tiamdi
Cygstel north=Bumopi south=Magas east=Dani-Dige west=Osolidra
Benzarbos north=Biru-Lebconoxi south=Lebach east=Nula west=Ridani-Curyla
Kisdige north=Mercu-Tallude south=Brandiade east=Xelity west=Aldige
Stagnibi-Mari north=Piter-Gece south=Pulcarda east=Rora-Helido west=Oxirenet
Terra-Laval north=Oblicron south=Denibi-Karamag east=Hecep west=Vanpa
Pulre north=Promelan south=Segcahec east=Caldomi-Dermini west=Eslao
Radra north=Carda-Danibi south=Ronneptune east=Dani-Teleb west=Budy
Riona-Soli north=Cheabren south=Metneli-Britoid east=Leonisoso west=Davam
Joglatius north=Bual south=Arva-Jupiter east=Omri-Kisarva west=Lera-Tumarge
Tuneturn north=Aldige-Oxilas south=Thimagdei east=Cetihy west=Eontyphoon
Latiusval north=Tauri-Tupist south=Laspia east=Peri-Embo west=Aldi-Metne
Celles-Brenta north=Celles-Biru south=Laspes east=Aldi-Keplarmeg west=Dislambdus
Viralep north=Ronpes south=Rida-Pago east=Britoid-Karatyphoon west=Pagomo
Draleptra north=Sicphantax south=Sendani east=Topia west=Trapist-Boramar
Shporiona-Nulali north=Neptune-Amdige south=Hecvalles east=Yaori-Metne west=Mesdes
Brenta-Dustopia north=Simiole south=Lanepsi east=Latune west=Marstauri
Telmia-Ura north=Vandrebus south=Danmiago east=Golachro west=Tares
Lepcron north=Liusseg south=Miabu east=Phantax-Cardani west=Toidbuslon
Toidge north=Terra south=Bora-Xeli east=Phani-Appotel-Pulrio west=Liter
Soli-Britoidpi north=Oxidor south=Mercury-Neptunecyg east=Rondune west=Tahec
Epsimio-Deni north=Ronnacel south=Britoidcal east=Loxcog west=Ronlickis
Dreanep north=Desgi south=Chronosturn east=Miothura west=Dosbritoid
Lonsi-Quaqua north=Dunedavori south=Meronvian east=Netvebren west=Liussepop
Thepeskup north=Dorsai-Lannis south=Brenta-Viancal east=Perciibi west=Piaci
Lambdusto-Nigmia north=Appo-Simiocal south=Ciivianso east=Cosmari-Dermini west=Biatel
Ceti-Urato north=Pessep south=Vanori east=Stelle-Vargeti west=Tosli
Viciici north=Tosjupi south=Pagomo east=Ronpes west=Valles-Lebcury
Oxipha north=Dialesti south=Glatius-Helitius east=Vonvonoxi
Prilius north=Topiamer south=Drela east=Kara-Boslicdei west=Amdige
Lichein north=Topiapes south=Senmars east=Theas west=Pusmia
Telmiaori north=Arathos south=Epsimio-Tunetauri east=Eslazeus west=Rionadi
Dermini-Doneen north=Zeusmetne-Dani south=Kisdov east=Taxsa west=Sigvilic
Desnigsai north=Conzeustel south=Barsonmeg east=Teter west=Centau-Achra
Amdige-Prome north=Karaphi south=Cygtelmia east=Potel-Sepdelta west=Nelicu
Giappo north=Budermi south=Digemet east=Deigooxi west=Mesnis
Nulacor north=Kupsicno south=Turnzarseg east=Omrida-Aldi west=Gidiames
Lanstag north=Yaconpa south=Lasdre east=Largebri west=Kisbiru
Disriona north=Vilox south=Nettal east=Dosles west=Piter-Xima
Leonisvar south=Rychea east=Cronphani west=Dige-Taxti
Dermi-Nibi north=Cygtune south=Domini-Neptunenig east=Saispho west=Hyphobos-Curytos
Pesnig north=Gosenne south=Godusto east=Gepago west=Liusriona
Cetiba north=Conva south=Phoonob east=Magmo west=Ceti-Chealesti
Tihephaes north=Varpulphoon south=Riona-Saturnma east=Hyphobos-Dige west=Achrahec
Saturn-Turngo north=Domi-Dyseg south=Mini-Varmini east=Loosoli west=Varzar
Prizardia north=Oxicon south=Saturn-Centauri east=Mari-Lepaldi west=Reslonsi
Centauri-Amdi north=Lonsimio-Danthura south=Bora-Vianri east=Deiobli west=Loxdige
Sonlius-Shporio north=Amdige-Loxtalic south=Joa east=Tacelles west=Typhoon-Lure
Brentaso north=Liclep south=Tiusdusto-Morlep east=Esla-Karapho west=Danzeus
Embo-Heinlein north=Resmiadia south=Davcastal east=Karacury west=Osimio-Lambdusto
Orido north=Livus south=Meglolep east=Arva-Quaeon west=Vallesti-Topia
Vadani-Xargipus north=Cori south=Dermi-Mialera east=Uravan west=Luto
Minibi-Dosneli north=Donechronos south=Pesbi east=Thesi west=Cheathos
Glatius-Dyvarcron north=Susthe south=Heli-Sepmorcar east=Pesstelle west=Castal-Varre
Vusdi north=Neptunephoon south=Drecii east=Tunenula west=Ronappo
Tunehectal north=Zaraphro south=Celles-Deni east=Centauri-Eontyphoon west=Keplar-Nula
Castalzar north=Zarza south=Curyco east=Endor west=Ciige
Meglopist north=Varsep south=Lagomi east=Cetilo west=Yaphan
Puspesstag north=Cosma-Omri south=Talosi east=Pagosep west=Birucu
Branra north=Opappo south=Delta-Mesvon east=Turnnis west=Thelan
Lestisen north=Neli-Cica south=Ando-Esla east=Amdige-Nibi west=Ditetede
Valles-Caldo north=Senlamb south=Noshein east=Thebritoid west=Cica-Vonlambdus
Boratal north=Piusvanto south=Conba east=Mardan west=Lotauri
Danibi-Mesres north=Morbus south=Nape east=Golischer west=Lambdus-Miacii
Pulbucen north=Ceti south=Riona-Magtunemo east=Cygbunig west=Dosaes
Thura-Barson north=Golon south=Saturn-Achra east=Toidjocen west=Cordomi-Lerabo
Dospri north=Rondige south=Rudosdone east=Teludra west=Phimer
Buditeleo north=Taop south=Cordo-Hephaesle east=Lebdis west=Talmor
Davpo north=Phoonosoli south=Corida-Urajo east=Uraach west=Perciila
Busge north=Marida-Shporio south=Magdusto east=Yahec west=Cronsig
Retlarplu north=Cury-Mercury south=Rionabri east=Sonbi west=Deigi-Epsimio
Hyphobos-Magmia north=Varal south=Trapistdus east=Licdiaori west=Typhooncal
Cori-Tosqua north=Dancal south=Borato east=Gidiames west=Branba
Astos-Tulep north=Simio-Davlarnep south=Ditelar east=Typhoon-Piter west=Gelep
Phantaxlo north=Pulpul south=Vusmag east=Tume west=Deni-Chronos-Dustopia
Castal-Ditecon north=Nula-Pripia south=Doval east=Noeli-Denibi west=Labarson
Yaop north=Centauri-Xima south=Doneal east=Vontel west=Meglorio
Bari-Lestiaes north=Denibi-Britoidvi south=Puspotel east=Dermi-Leraplu west=Promespho
Thosesla north=Dustopia-Xartoidsig south=Neli-Tunedesscher east=Hecta west=Nimbus-Philas
Osi-Stagnibi north=Epsimio-Lakarador south=Oxipe east=Ceti-Resneptune west=Tauri-Aphro
Tauri-Sigdune north=Mesgla south=Nimbus-Siggi east=Nigvussus west=Nigmarsmia
Desresra north=Lambdusto-Roncas south=Vanli east=Lethosoli west=Licosoli
Biru-Pesamdi north=Quascher south=Miater east=Pusdusto west=Priaphro
Teo north=Aphro-Lanme south=Brenta-Retpi east=Tizeus west=Biadia
Cogthi north=Lambdusto-Rorala south=Raembo east=Vusmet west=Nomi-Perciilar
Taxxima north=Laslar south=Tiuspo east=Leonis-Domini west=Metne-Uraach
Britoidlas north=Phoontau south=Dreanula east=Zarpesdia
Deigi north=Thura-Lardor south=Zeussic east=Typhoonjo west=Phantaxphi
Rubari north=Metneli-Lonsi south=Leonis east=Lepaphro west=Zathu-Cygdermi
Tiuszathu north=Kiscentau south=Gevardune east=Mari-Dosdis west=Oririda
Hephaes-Veconpi north=Bora-Obli south=Ditesimio east=Vuskara west=Leinvusma
Chronoscos north=Loxsai south=Neptune-Nisas east=Hyphobos-Phobos west=Heczarphoon
Danibi-Embora north=Potelmia-Miaveturn south=Tuneprome east=Sigeon west=Golachro
Caldomi-Aphro north=Larvian south=Potel-Naron east=Keplarme west=Meti
Miastel north=Thuradis south=Zathu-Pesori west=Topiabia
Catdomi north=Thura-Leinmi east=Thitoscos west=Plutopia-Vanpia
Mopiter north=Neli-Hephaes south=Mercu-Nomini east=Zeuspotel west=Thosno
Barsonleth north=Netthu south=Vanpe east=Phoboslic-Spholia west=Tecordo
Thelar north=Magjo south=Vallesti-Retpulce east=Centau-Drapiapi west=Pusosoli
Pusmor north=Pusru south=Noeli-Retdisli east=Turnpistam west=Omri-Renu
Dessaidan north=Xarsigdo south=Jothoscas west=Heli-Loxepsi
Tula north=Sonas south=Quaciinet east=Thedesphi west=Phoonnospist
Kupsicoxi north=Vonxi south=Ruhe east=Vanniszar west=Phoonvada
Boslicnos north=Barson south=Caldomi-Phoboslic east=Ximari-Donereshein west=Osi-Danibi
Perciipi south=Castalkis east=Licscherte west=Viancii
Topiaxar north=Promestag south=Aldi-Lusoli east=Phanibi-Relamb west=Hephaesju
Danibi-Cury north=Promehec south=Davaura east=Bure west=Cheaar
Tosqua north=Cronmari south=Meskep east=Nisheinlein west=Dianospes
Epsi-Nahe north=Talnep south=Taxcel east=Piustopia west=Brentapi
Valles-Desdeni north=Tiphantax south=Loriona east=Hecyabren west=Sainig
Dredite north=Amdige-Donephan south=Tuap east=Telmialic west=Epsi-Thura
Donetoid north=Dunere south=Eslamet east=Hypho-Githos west=Nigmia
Deni-Netdusto north=Nibiru-Tuter south=Sepsi east=Seplovar west=Laastos
Heinleinpha north=Nulatos-Percii south=Miaam east=Dovdov west=Karada
Terra-Lera north=Lera-Morsi south=Trapistmio east=Temi west=Lethdrenet
Nomi-Epsi north=Terranep south=Segthura east=Borado west=Lugidone
Celles-Cogmercu north=Dani-Teleb south=Aesnet east=Martyphoon west=Ronneptune
Corida-Seplonsi north=Scherlu south=Delta-Noelipe east=Dreli west=Lebjo-Busva
Lambdusto-Cury north=Lonsimio-Zarco south=Vonaph east=Licbia west=Noscon
Luspholi north=Vianheinlein south=Tadav east=Leonis-Varxima west=Lalebco
Boslic-Phoboslic-Conmar north=Terralan south=Netti east=Prici west=Pistya
Vonsus north=Corida-Boslic south=Valles-Thiseg east=Lestias west=Arva-Miota
Ridani-Curyla north=Deisicpo south=Denibi-Kara east=Benzarbos west=Cica-Peslucor
Liza north=Osoli-Tiaura south=Retnoe east=Caldo-Aldige west=Sontel
Giru north=Lebdani south=Nisrevus east=Oridan west=Aesdav
Lanu north=Omri-Opresus south=Vianliles east=Talzarca west=Kupsic-Osimio
Keplardre north=Kupsic-Kara south=Vusdermi east=Liusmar west=Leonisbus
Niglicron north=Pespro south=Aldige-Rydite east=Lambdus-Tunetunepha west=Navon
Resarva north=Dradorsai south=Viqua east=Castal-Digespho west=Desvian
Aeskeplar north=Saturn-Phipercii south=Saturneon east=Aurata west=Pistmo
Naaldi north=Joci south=Tuschermo east=Catkarapho west=Namini
Hephaes-Diavon north=Cury-Racheathi south=Embo-Dermini east=Celles-Hecnibi west=Bora-Cordomi
Siglarri north=Talcel south=Dusto-Cordomi east=Caldomi-Schertau west=Omri-Mercu
Mioca north=Phoondus south=Chronos east=Susto west=Borabri
Metne-Lorida north=Stagnibi-Vianli south=Hecdav east=Lebnula west=Piusmeg
Raachra north=Saileo south=Morach east=Curystag west=Cordo-Dusto
Stellera-Glatius north=Typhoon-Turnhephaes south=Susdeni east=Buscor west=Busseplon
Vardrehec north=Endor-Bora south=Nigthe east=Pulciidre west=Zarliusdos
Aldige-Lethtosbran north=Teno south=Vipist east=Tiusge-Resmari west=Magmo
Caldomi-Dislamb north=Achra-Castal south=Mopiter-Thides east=Lonsi west=Lastopia
Riona-Piaqualo north=Cogne south=Castal-Rumionos east=Rida-Catba west=Karali
Yabus north=Nula-Danibi south=Auraxi east=Dosnetpo west=Mecygni
Castalter north=Lebsaisa south=Convanthu east=Epsi-Pluto west=Birusi
Metne-Oxioposo north=Britoidval south=Netrio east=Segdite
Ryriona-Vemorka north=Minibi-Osoli south=Trapist-Neptunebri east=Ressaidia west=Thisimio
Nula-Sigro north=Cori-Perciitoid south=Marida-Nisen east=Rypago west=Bora-Caldomi
Phiti north=Deigooxi south=Endor-Dismio east=Hephaesju west=Digemet
Boslic-Osoli north=Vandav south=Talonsi east=Carda-Branbran
Barida-Leinbri north=Tunethura south=Sicbenzar east=Toskup west=Taxnignep
Esla-Resmag north=Mari-Omri south=Dybrenta east=Varmio west=Perida-Ruvian
Boslicry north=Ditebi south=Trapist-Phobos east=Astos-Terrati west=Vonembo
Losig north=Saispho south=Terra-Oxiciibri east=Xelilan west=Domini-Neptunenig
Segcron north=Tauri-Brantiuscar south=Pagoqua east=Neptune-Centauri west=Piame
Esla-Marcu north=Branori south=Tosli east=Pessep west=Xarloxnoe
Mopiter-Turnhe north=Mesles south=Appo-Ando east=Lodancu west=Nomini-Cori
Dymar north=Saturn-Leintelmia south=Senes east=Perciipo west=Astosscher
Primeglo north=Phani-Xima south=Sigsep east=Borabia west=Toidder
Conarva north=Borago-Rekupsic south=Dusto-Aura east=Cordo-Neptuneca west=Caldomi
Zathura-Tosbrenta north=Aldige-Yami south=Appo-Andomi west=Zardrale
Kisbiru north=Buara south=Naxartoid east=Lanstag west=Appotel-Ronkep
Schermarphan north=Hephaes-Tunedoneleb south=Topia east=Spholi-Britoid west=Sicphantax
Meglo-Perciipi north=Zeusmetne south=Heliry east=Miavon west=Dyembo
Dynim north=Dreapa south=Donegebo east=Prome-Phoondydrea west=Lebleth
Embora-Dreatigo north=Senbari south=Catphani east=Eonseg west=Simio
Cygchea north=Caepsi south=Appo-Jupi east=Esla-Prinoe west=Teludra
Aldige-Quamari north=Nosen east=Ditenomi west=Biaronmio
Licsusthe north=Minibi-Nulathi south=Phoboslic-Lamars east=Cheacos west=Ronbarson
Tuneaphro north=Epsi-Astoschea south=Vantu east=Deio west=Dovvar
Mini-Genetsa north=Prome-Peska south=Noses east=Tosdoskep west=Opconar
Desdei north=Ceticor south=Vianvustax east=Phikupsic west=Ryza
Terra-Voncel north=Karastag south=Despe east=Chronosve west=Gosenri
Hypho-Telmianoe south=Disthili east=Piussepry west=Karadel
Phani-Meslasob north=Taxthura south=Embo-Budanres east=Danibi-Yalanlius west=Thides
Dani-Rionaal north=Lambdus-Tunetunepha south=Teni east=Thuraty west=Aldige-Rydite
Oridei north=Caldomi-Boslic south=Vekeplar east=Heli-Cyglo west=Cygchronos
Cygna north=Perida-Eonshpo south=Raloxpho east=Lepcon west=Dunecarda
Cheali north=Heli-Curycen south=Branperi-Cellesti east=Hypho-Nisno west=Jupi-Spholi
Resve north=Xeli-Deltavan south=Aldi-Cica east=Arapius west=Disleo
Aphro-Kistunesai north=Stagni-Leppusju south=Cygrora east=Cosmari-Zathu west=Nelibri
Tunepi north=Osoli-Vilepba south=Taxsa east=Borascher west=Zeusmetne-Dani
Thico north=Phoonpri south=Taxde east=Nishy west=Scherphi
Castalgo north=Biatyphoon south=Cori-Promelan east=Phirora west=Reoxi
Varphan north=Britoid-Budeni south=Aesna east=Lepcron-Donecu west=Siclas
Lethcascher north=Leonisza south=Deimars east=Netheli west=Tizeus
Jupi-Rionacar north=Lumari south=Ditecares east=Nadosli west=Cheaosi
Centauri-Arvada north=Turnsonpist south=Dovthigi east=Potelmia-Neptunedus west=Karamari
Nisap north=Hephaes-Turnyaturn south=Marscacal east=Boratu west=Topiadus
Suscal north=Jupi-Ruheinlein south=Lera-Opdov east=Tauri-Oxiruty west=Kara-Boslicdei
Branbia north=Aesti south=Mini east=Amdi-Marspes west=Lera-Dovthura
Sepphilo north=Aurakep south=Talop east=Plutopia-Leonis west=Deni-Osoli
Teleb north=Cronhec south=Buscyg east=Barida-Jobu west=Spholispho
Cashporio north=Osoligi south=Auralar east=Zeussicsic west=Hecori-Sighein
Heli-Dantal north=Vusesla south=Omrida-Bora east=Rames west=Meglo-Perciilep
Pusdusto north=Bari-Nomi south=Tiusleb east=Drastelle west=Biru-Pesamdi
Astos-Lisic north=Eondiamio south=Noeli-Spholi east=Deidos west=Delta-Nimbus
Liusles north=Aldige-Dyshporio south=Appo-Danlesti east=Susle west=Veza
Opdei north=Curytel south=Danibi-Rettaxoso east=Laschro west=Osoli-Vada
Astos-Barida north=Noseon south=Dosqua east=Meglonoe west=Donetal
Minibi-Metne north=Chronosstel south=Vidovdre east=Morduneza west=Pagolar
Mialeb north=Dusto-Ara south=Trapistdite east=Zathu-Kupsic west=Percii-Turnlebop
Arva-Sennep north=Miaheph south=Heli-Cyglo east=Metne-Cronstel west=Caldomi-Boslic
Dossusca north=Arvada-Plutopia south=Centau-Nimbusco east=Mercury-Zarmiaper west=Castalpho
Lardorsai north=Opte south=Trapist-Boramar east=Sicphantax west=Dovri
Nulatos-Lasthu north=Britoid south=Pulbupro east=Yastag west=Puspialeth
Phanibi-Dorsai north=Gonethy south=Osimio-Omri east=Vussigam west=Lebnoeli
Memagdos north=Conpiter south=Aldige-Hyphobos east=Piusdischro
Aldige-Lesti north=Brenta-Orilepcon south=Astosben east=Delta-Cheapluto west=Cordomi-Caspho
Achratel north=Cronquale south=Helitau east=Raaldi west=Mari-Toidtel
Lilarcel north=Luosi south=Kupsic-Aldige east=Cronpus west=Esla-Karapho
Mercury-Pules north=Vada-Thiles south=Lera-Rontauri east=Zeuschealeth west=Phoonmo
Yaglatius north=Dunelamb south=Thura-Eonosi east=Loxoxivi west=Dunedani
Eonleb north=Lupusni south=Larva east=Piusmini west=Hypho-Obli
Prome-Phoondydrea north=Licdite south=Sicpo east=Tunetoid west=Dynim
Kupsicgo north=Glatiusdov south=Tatel east=Vanbo west=Kupsic-Aphrora
Danpes north=Kupsickis south=Phoboslic-Spholia east=Pluto-Obli west=Netthu
Keplarru north=Phantaxru south=Nosoriplu east=Glatiusa west=Kupsicen
Meaphro north=Terraan south=Embora-Tuhecthos east=Domini-Miavus west=Mopiter-Epsi
Dorsai-Obli north=Shporiona-Destopia south=Pluto-Segdeigla east=Lesti-Lango west=Liusshpo
Netpia north=Osi-Leonis south=Simioti east=Noelidite west=Riona-Deistel
Deni-Miopiter north=Ronshpo-Piuslasgla south=Dermini-Pulba east=Achrapo west=Boslicspho
Solikis north=Pultra south=Ando-Zeusdynep west=Eslabi
Quaciinet north=Tula south=Xeli-Mari east=Pesmopi west=Domini-Caldo
Diabar north=Lomia south=Centau east=Vargi west=Segnaxe
Aldi-Senendor north=Hypho-Mari south=Endor-Achra east=Ceti-Lethte west=Gola
Vikupsic north=Nigben south=Mercury-Dresic east=Tunemeg west=Lepro
Davnoscas north=Ditemio south=Lopa east=Quaco west=Larsigval
Davte north=Phani-Nispo south=Lalarkup east=Metne-Drezarmi west=Ciiri
Lambdus-Dermini north=Bari-Kara south=Vada-Rora east=Gogi west=Britoid-Zathura
Sepnoeli north=Domini-Benzar south=Auraau east=Yado west=Aldi-Lesti
Benzar-Chronosdes north=Lera-Luas south=Shporiona-Glatius east=Xelicii west=Retle
Nisdune north=Osimio-Disty south=Nigbari east=Karachro-Dustopia west=Brenta-Hephaesshpo
Yalanbu north=Heligi south=Seplovar east=Lestibi west=Nibiru-Tuter
Cordomi-Arario north=Danleb south=Arvada-Recheabren east=Stellera-Leinnau west=Perida-Nata
Laando north=Dreales south=Spholisa east=Team west=Celles-Sonco
Dreaepsi north=Eonna south=Stellera-Dovdy east=Oririo west=Gibranleb
Ladone north=Mercury-Morthethu south=Larda east=Bosliclon west=Lanbren
Lera-Birutius north=Danibi-Jovancog south=Varnim east=Magthura west=Ridani-Rora
Toshephaes north=Aesob south=Vianxarres east=Pulkisya west=Cheapuskis
Rabren north=Maggiaes south=Deilo east=Mini-Vidunephan west=Taurida-Destaxsai
Tauri-Oxiruty north=Laphoon-Saturn south=Meheccu east=Neli-Navepes west=Suscal
Dyder north=Nisrida south=Taxsai east=Ditetucron west=Dosgobran
Magas north=Cygstel south=Tasaturn east=Vallesti-Spholi west=Yaes
Biru-Lebconoxi north=Centau-Phimi south=Benzarbos east=Pagodis west=Deisicpo
Brandiade north=Kisdige south=Zathu-Tachro east=Marstax west=Nischea
Phani-Appotel north=Zaraes south=Puspustos east=Thuravon west=Nula-Lomorphi
Denibi-Karamag north=Terra-Laval south=Lonsi-Vondia east=Prometi west=Disret
Segcahec north=Pulre south=Sicphobos east=Phidel west=Mardisom
Piusendor north=Morduneza south=Quatoste east=Cosma-Lethheinlein west=Vidovdre
Metneli-Britoid north=Riona-Soli south=Cordo-Tunoe east=Nigtheme west=Dermini-Hecthebren
Hyphobos-Piterra north=Privina south=Dyheph east=Liusriona-Helidra west=Dosheph
Rida-Rionaxi north=Ticog south=Lava east=Landelta west=Dismag
Laspia north=Latiusval south=Vargi east=Dusto-Kupsic west=Lomia
Nistel north=Dermi-Netvi south=Domi-Esladune east=Kisbritoid west=Mercu-Metne
Ronpes north=Karapulaes south=Viralep east=Morri-Domi west=Viciici
Venos north=Vephi south=Saidone east=Yachro west=Stagnibi-Stelle
Neptune-Amdige north=Meglo-Meryqua south=Shporiona-Nulali east=Meron west=Landesdov
Simiole north=Nomini-Kara south=Brenta-Dustopia east=Perciilo west=Vallesti-Phiprome
Vandrebus north=Mesheph south=Telmia-Ura east=Ximari west=Cellesti-Viance
Dredy north=Dramag south=Vadani-Distax east=Marura west=Drepago
Cronpus north=Marembo south=Pesnapus east=Orinoe west=Lilarcel
Oxidor north=Relep south=Soli-Britoidpi east=Jupi-Potelmia west=Phiresen
Perida-Davzeus north=Segdite east=Litrapist west=Netrio
Britoidcal north=Epsimio-Deni south=Lepbran east=Plutopia-Thosliccor west=Yalebmar
Desgi north=Ressaidia south=Dreanep east=Hephaes-Yasus west=Trapist-Neptunebri
Meronvian north=Lonsi-Quaqua south=Geaphro east=Kupsicoso west=Pusceti
Brenta-Viancal north=Thepeskup south=Mopiter-Conamdi east=Shporiona-Thostune west=Thedespo
Ciivianso north=Lambdusto-Nigmia south=Endor-Phinim east=Cogle west=Desthu
Catune north=Branba south=Stelle-Dismari east=Borato west=Mortunebo
Pagomo north=Viciici south=Nibiru-Thirytra east=Viralep west=Biami
Glatius-Helitius north=Oxipha south=Raza east=Brentavar
Drela north=Prilius south=Thosnomi east=Soli-Esla west=Piter-Castal
Senmars north=Lichein south=Deni-Noelicar east=Domi-Zathu west=Lantelmia-Caraka
Xelileo north=Tanisgi south=Turettu east=Narapist west=Stellera-Cori
Appo-Tao north=Lamia south=Britoid-Osolirio east=Brentaep west=Kara-Topia
Conzeustel north=Morri south=Desnigsai east=Telmia-Larce west=Sonphoon
Barson-Eonchea north=Stelle-Pulba south=Borabia east=Cogqualu west=Phani-Xima
